Vardas              Pavarde             ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    Egz.   
Vardas1             Pavarde1            7      10     5      10     10     4      8      7      3      3      
Vardas2             Pavarde2            6      7      3      7      1      2      6      5      2      8      
Vardas3             Pavarde3            1      3      1      7      8      10     9      10     7      2      
Vardas4             Pavarde4            4      5      1      9      5      3      4      4      9      6      
Vardas5             Pavarde5            6      6      3      8      5      5      9      10     1      2      
Vardas6             Pavarde6            10     1      4      2      7      3      1      5      3      8      
Vardas7             Pavarde7            8      6      4      9      6      10     3      9      3      1      
Vardas8             Pavarde8            5      8      9      9      7      3      3      8      4      5      
Vardas9             Pavarde9            9      3      5      3      4      3      5      5      10     9      
Vardas10            Pavarde10           4      7      5      9      7      10     9      9      1      1      
Vardas11            Pavarde11           2      5      9      10     5      7      4      9      4      7      
Vardas12            Pavarde12           3      3      2      9      7      5      3      1      1      2      
Vardas13            Pavarde13           10     6      9      6      5      5      7      5      6      7      
Vardas14            Pavarde14           5      7      3      5      8      7      4      1      5      7      
Vardas15            Pavarde15           7      9      9      8      9      7      5      2      8      7      
Vardas16            Pavarde16           3      9      3      1      6      9      8      2      3      3      
Vardas17            Pavarde17           9      9      1      1      4      8      8      7      10     4      
Vardas18            Pavarde18           5      8      5      6      8      3      2      2      4      1      
Vardas19            Pavarde19           8      7      9      2      9      4      10     8      8      4      
Vardas20            Pavarde20           2      6      3      4      6      8      1      5      6      2      
Vardas21            Pavarde21           1      10     10     7      7      7      9      9      10     5      
Vardas22            Pavarde22           9      9      3      10     3      3      5      4      1      2      
Vardas23            Pavarde23           8      4      9      10     8      7      9      10     3      6      
Vardas24            Pavarde24           2      3      5      1      1      4      9      10     2      10     
Vardas25            Pavarde25           4      2      10     8      3      2      10     10     6      10     
Vardas26            Pavarde26           3      3      4      2      4      3      10     4      2      2      
Vardas27            Pavarde27           9      3      7      5      5      7      8      5      6      1      
Vardas28            Pavarde28           6      1      5      6      8      7      7      8      8      2      
Vardas29            Pavarde29           9      1      6      4      4      1      6      3      4      10     
Vardas30            Pavarde30           4      2      4      2      9      9      9      6      5      6      
Vardas31            Pavarde31           9      1      9      3      6      6      1      4      5      9      
Vardas32            Pavarde32           8      6      1      3      1      6      6      7      8      9      
Vardas33            Pavarde33           8      3      3      1      5      3      1      3      8      6      
Vardas34            Pavarde34           10     6      8      8      10     3      6      1      8      2      
Vardas35            Pavarde35           1      5      7      3      10     8      8      5      6      7      
Vardas36            Pavarde36           5      3      9      7      5      5      9      6      9      9      
Vardas37            Pavarde37           3      9      6      10     6      6      4      3      8      1      
Vardas38            Pavarde38           5      10     6      1      2      5      10     9      1      7      
Vardas39            Pavarde39           7      5      1      5      4      6      2      2      1      10     
Vardas40            Pavarde40           2      3      10     10     4      6      7      7      10     4      
Vardas41            Pavarde41           9      4      5      4      5      6      10     6      6      10     
Vardas42            Pavarde42           3      2      5      3      8      8      8      9      1      10     
Vardas43            Pavarde43           1      5      4      10     4      7      7      10     3      7      
Vardas44            Pavarde44           5      2      10     1      7      6      6      9      4      3      
Vardas45            Pavarde45           10     6      6      6      10     5      3      10     6      6      
Vardas46            Pavarde46           9      8      2      3      7      5      1      6      6      6      
Vardas47            Pavarde47           4      2      7      3      2      5      1      9      3      4      
Vardas48            Pavarde48           3      3      1      10     8      10     4      3      9      1      
Vardas49            Pavarde49           10     10     8      1      4      7      7      4      2      4      
Vardas50            Pavarde50           9      5      7      7      9      8      2      1      8      6      
Vardas51            Pavarde51           4      10     10     4      9      8      6      4      2      6      
Vardas52            Pavarde52           5      1      5      4      3      10     10     1      4      1      
Vardas53            Pavarde53           6      4      7      2      3      6      9      6      6      6      
Vardas54            Pavarde54           1      2      7      1      7      7      10     2      10     1      
